




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (256)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of neurotransmitter secretion (GO:0046928)	12	3	.14	+	21.48	6.18E-04	1.51E-02
chemical synaptic transmission, postsynaptic (GO:0099565)	13	3	.15	+	19.83	7.54E-04	1.78E-02
neurotransmitter transport (GO:0006836)	54	11	.63	+	17.50	1.95E-10	1.97E-08
regulation of synaptic plasticity (GO:0048167)	25	5	.29	+	17.19	2.18E-05	7.34E-04
neurotransmitter secretion (GO:0007269)	45	9	.52	+	17.19	1.04E-08	6.99E-07
signal release from synapse (GO:0099643)	45	9	.52	+	17.19	1.04E-08	6.78E-07
synaptic vesicle exocytosis (GO:0016079)	31	6	.36	+	16.63	3.77E-06	1.58E-04
regulation of neurotransmitter levels (GO:0001505)	55	9	.64	+	14.06	4.87E-08	2.45E-06
synaptic vesicle cycle (GO:0099504)	63	10	.73	+	13.64	1.12E-08	7.11E-07
vesicle-mediated transport in synapse (GO:0099003)	63	10	.73	+	13.64	1.12E-08	6.91E-07
dendrite morphogenesis (GO:0048813)	19	3	.22	+	13.57	1.97E-03	4.21E-02
adherens junction organization (GO:0034332)	26	4	.30	+	13.22	3.71E-04	9.45E-03
signal release (GO:0023061)	74	11	.86	+	12.77	3.79E-09	2.81E-07
potassium ion transmembrane transport (GO:0071805)	110	15	1.28	+	11.72	1.59E-11	2.72E-09
potassium ion transport (GO:0006813)	111	15	1.29	+	11.61	1.79E-11	2.84E-09
sodium ion transmembrane transport (GO:0035725)	77	10	.90	+	11.16	6.26E-08	3.09E-06
regulation of trans-synaptic signaling (GO:0099177)	86	11	1.00	+	10.99	1.57E-08	8.92E-07
modulation of chemical synaptic transmission (GO:0050804)	86	11	1.00	+	10.99	1.57E-08	8.70E-07
regulated exocytosis (GO:0045055)	57	7	.66	+	10.55	8.73E-06	3.28E-04
synapse organization (GO:0050808)	74	9	.86	+	10.45	4.80E-07	2.13E-05
synaptic transmission, glutamatergic (GO:0035249)	44	5	.51	+	9.76	2.44E-04	6.78E-03
chemical synaptic transmission (GO:0007268)	248	28	2.89	+	9.70	1.64E-18	1.82E-15
anterograde trans-synaptic signaling (GO:0098916)	248	28	2.89	+	9.70	1.64E-18	1.21E-15
trans-synaptic signaling (GO:0099537)	249	28	2.90	+	9.66	1.81E-18	1.00E-15
regulation of membrane potential (GO:0042391)	116	13	1.35	+	9.63	3.29E-09	2.60E-07
sodium ion transport (GO:0006814)	91	10	1.06	+	9.44	2.61E-07	1.18E-05
negative regulation of locomotion (GO:0040013)	37	4	.43	+	9.29	1.24E-03	2.78E-02
synaptic signaling (GO:0099536)	268	28	3.12	+	8.98	1.05E-17	4.67E-15
export from cell (GO:0140352)	178	17	2.07	+	8.21	1.20E-10	1.27E-08
secretion by cell (GO:0032940)	159	14	1.85	+	7.57	1.41E-08	8.47E-07
cell junction organization (GO:0034330)	163	14	1.90	+	7.38	1.89E-08	1.02E-06
cell-cell signaling (GO:0007267)	419	35	4.88	+	7.18	5.01E-19	1.11E-15
