chr1	119033670	119034599	930	*
chr1	119254731	119256822	2092	*
chr1	182604810	182605475	666	*
chr1	186554318	186554767	450	*
chr2	157749966	157751175	1210	*
chr2	157780203	157780407	205	*
chr2	172911669	172911977	309	*
chr2	179046340	179046682	343	*
chr2	179697645	179698451	807	*
chr3	8769090	8769374	285	*
chr3	84437914	84438472	559	*
chr4	45466247	45467405	1159	*
chr4	154602291	154603730	1440	*
chr5	65983882	65984252	371	*
chr5	97632463	97633223	761	*
chr5	99604578	99605354	777	*
chr5	99877322	99877783	462	*
chr7	121462542	121463003	462	*
chr7	135237472	135238437	966	*
chr7	136060035	136061030	996	*
chr7	136081719	136084330	2612	*
chr8	14559212	14560508	1297	*
chr8	125964089	125964483	395	*
chr9	98328675	98328994	320	*
chr10	94382719	94384235	1517	*
chr11	7106118	7106311	194	*
chr11	51642499	51644416	1918	*
chr11	57692084	57693267	1184	*
chr11	114177420	114178571	1152	*
chr12	4430721	4431299	579	*
chr12	111850005	111850435	431	*
chr14	69501824	69502555	732	*
chr14	115477333	115477550	218	*
chr15	84038098	84040809	2712	*
chr17	45208956	45209820	865	*
chr17	67020015	67020545	531	*
chr17	83019709	83020147	439	*
chr17	86903325	86904833	1509	*
chr1	62682524	62683301	778	*
chr1	97848659	97849100	442	*
chr1	128687301	128687726	426	*
chr1	135668829	135669948	1120	*
chr1	135698299	135698871	573	*
chr2	27304623	27305064	442	*
chr2	28882405	28882761	357	*
chr2	66179840	66180099	260	*
chr2	146061831	146062344	514	*
chr2	146063440	146063930	491	*
chr2	166667602	166670197	2596	*
chr2	166675359	166676928	1570	*
chr2	169424391	169425023	633	*
chr2	170058109	170058717	609	*
chr2	170563952	170564572	621	*
chr2	173413808	173414710	903	*
chr3	51272952	51273179	228	*
chr3	89539032	89540026	995	*
chr3	148133939	148134697	759	*
chr4	45752606	45753497	892	*
chr4	97626101	97626703	603	*
chr4	114876198	114876944	747	*
chr4	125288341	125290337	1997	*
chr4	153707877	153709041	1165	*
chr5	75591409	75591974	566	*
chr5	116322595	116322994	400	*
chr5	119258008	119258462	455	*
chr5	148662895	148663734	840	*
chr6	95205872	95206069	198	*
chr6	125573002	125574912	1911	*
chr6	127627388	127628140	753	*
chr6	145668322	145668530	209	*
chr7	51791450	51791738	289	*
chr7	64984653	64985396	744	*
chr7	100938440	100939186	747	*
chr7	136080811	136081469	659	*
chr7	144159332	144159929	598	*
chr7	144408496	144410026	1531	*
chr8	10200137	10200756	620	*
chr8	14603954	14604359	406	*
chr8	14682405	14682827	423	*
chr9	26697826	26698655	830	*
chr9	52887103	52887577	475	*
chr9	56603917	56604194	278	*
chr9	62192163	62193246	1084	*
chr9	116383481	116384398	918	*
chr9	118706494	118706944	451	*
chr9	119655431	119656033	603	*
chr10	13425250	13425902	653	*
chr10	19778843	19780044	1202	*
chr10	94426313	94426625	313	*
chr10	119735010	119736148	1139	*
chr10	128896115	128897323	1209	*
chr11	22563778	22564620	843	*
chr11	51449889	51450584	696	*
chr11	76515281	76515566	286	*
chr11	76531897	76532430	534	*
chr11	112817845	112818916	1072	*
chr11	113283559	113285678	2120	*
chr11	113972078	113973160	1083	*
chr11	114121193	114121597	405	*
chr11	116341544	116343336	1793	*
chr12	12622175	12622420	246	*
chr12	12684260	12685231	972	*
chr12	12715006	12716135	1130	*
chr12	12810285	12810700	416	*
chr12	27064912	27065240	329	*
chr12	32015383	32015694	312	*
chr12	51000822	51001040	219	*
chr12	51518068	51518277	210	*
chr12	54450235	54450590	356	*
chr12	112349993	112350700	708	*
chr13	97955194	97956061	868	*
chr14	77942284	77943445	1162	*
chr15	59196043	59197107	1065	*
chr15	73460712	73461520	809	*
chr15	84351896	84352842	947	*
chr15	84367522	84367943	422	*
chr15	93697532	93699312	1781	*
chr15	93733513	93735361	1849	*
chr15	93775526	93775817	292	*
chr15	93832394	93832769	376	*
chr16	29734943	29735255	313	*
chr16	29915361	29915697	337	*
chr16	93956926	93957525	600	*
chr16	94490206	94490408	203	*
chr17	7097052	7099355	2304	*
chr17	8026651	8028955	2305	*
chr17	71697806	71698893	1088	*
chr18	57261780	57262087	308	*
chr18	82930654	82930768	115	*
chr19	16777695	16777810	116	*
chr19	17751840	17752064	225	*
chr19	17927220	17927858	639	*
chr19	42461671	42462587	917	*
chr19	48482221	48483009	789	*
