Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)						
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22						
Analyzed List:	upload_1 (Mus musculus)						
Reference List:	Mus musculus (all genes in database)						
Test Type:	FISHER						
Correction:	FDR						
PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (604)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
dendritic spine morphogenesis (GO:0060997)	8	3	0.22	+	13.66	2.67E-03	3.98E-02
circadian regulation of gene expression (GO:0032922)	17	4	0.47	+	8.57	2.10E-03	3.24E-02
calcium-ion regulated exocytosis (GO:0017156)	26	6	0.71	+	8.4	1.78E-04	4.08E-03
anterior/posterior pattern specification (GO:0009952)	36	8	0.99	+	8.09	1.88E-05	5.58E-04
circadian rhythm (GO:0007623)	24	5	0.66	+	7.59	9.36E-04	1.73E-02
calcium ion import (GO:0070509)	30	6	0.82	+	7.28	3.50E-04	7.12E-03
rhythmic process (GO:0048511)	26	5	0.71	+	7	1.28E-03	2.17E-02
negative regulation of MAPK cascade (GO:0043409)	27	5	0.74	+	6.74	1.49E-03	2.41E-02
sodium ion transmembrane transport (GO:0035725)	77	14	2.11	+	6.62	1.31E-07	4.94E-06
pattern specification process (GO:0007389)	59	10	1.62	+	6.17	1.42E-05	4.32E-04
regulation of cation transmembrane transport (GO:1904062)	71	11	1.95	+	5.64	1.14E-05	3.56E-04
sodium ion transport (GO:0006814)	91	14	2.5	+	5.6	8.00E-07	2.82E-05
regulation of cation channel activity (GO:2001257)	39	6	1.07	+	5.6	1.19E-03	2.07E-02
regulation of transmembrane transporter activity (GO:0022898)	60	9	1.65	+	5.46	8.90E-05	2.22E-03
regulation of ion transmembrane transporter activity (GO:0032412)	60	9	1.65	+	5.46	8.90E-05	2.20E-03
regulation of transporter activity (GO:0032409)	60	9	1.65	+	5.46	8.90E-05	2.17E-03
regulation of ion transmembrane transport (GO:0034765)	92	13	2.53	+	5.15	4.59E-06	1.52E-04
regulated exocytosis (GO:0045055)	57	8	1.57	+	5.11	3.28E-04	6.74E-03
regulation of transmembrane transport (GO:0034762)	96	13	2.64	+	4.93	6.97E-06	2.21E-04
